court,judge_name,case_type,sections_involved,num_hearings,petitioner_type,respondent_type,outcome,case_duration_days,filing_year,filing_month,description_length,word_count
1,38,4,8,39,2,0,0,66,2017,3,249,34
1,32,2,7,24,3,2,1,889,2022,2,245,35
3,18,2,7,22,1,0,0,1013,2016,10,238,31
3,4,4,4,2,3,3,1,258,2018,6,233,33
2,30,3,9,29,1,1,1,86,2019,7,248,35
3,6,3,8,2,3,2,0,841,2014,6,248,34
2,43,3,2,21,3,1,1,767,2019,5,234,32
0,27,2,7,35,2,0,1,878,2015,3,270,35
3,43,3,6,30,1,0,1,639,2022,8,239,34
3,44,0,7,5,2,3,0,651,2016,4,243,33
2,46,2,4,7,2,1,1,320,2016,5,245,35
3,20,2,6,13,1,1,1,367,2017,6,240,31
2,45,1,2,29,0,0,0,705,2016,12,262,34
0,41,4,5,15,0,3,1,1032,2019,7,246,36
1,6,2,3,24,0,3,0,361,2020,12,248,32
1,22,4,7,31,1,2,1,419,2023,8,235,33
2,2,3,7,28,3,1,0,660,2022,10,248,34
3,22,0,2,36,1,3,0,83,2015,11,248,34
1,40,3,9,34,0,0,0,728,2019,8,230,33
0,32,4,8,31,1,1,1,175,2016,8,238,34
1,3,4,8,10,2,3,0,761,2021,11,249,34
1,1,0,6,20,0,2,1,984,2013,4,228,33
3,9,4,7,32,0,1,0,1010,2023,12,243,34
2,7,1,4,22,2,3,1,190,2017,2,268,36
0,7,4,4,33,1,0,0,669,2021,3,241,35
0,25,2,4,18,0,1,0,508,2020,6,255,33
1,16,0,6,37,1,1,0,554,2017,1,233,34
1,15,1,2,39,3,2,1,770,2023,8,276,36
2,38,0,5,13,2,2,0,1090,2015,12,237,33
3,31,3,4,38,0,3,0,643,2021,2,245,33
3,51,2,3,16,0,0,1,623,2023,3,241,32
2,38,2,3,30,0,3,1,729,2014,4,248,33
2,39,2,4,26,3,3,1,570,2023,1,245,35
2,46,2,3,35,2,1,1,403,2022,10,250,35
2,29,0,9,35,1,0,0,910,2017,3,234,34
3,30,1,4,22,0,3,1,738,2022,3,268,36
3,47,1,9,6,2,2,0,634,2013,1,265,34
2,7,1,7,22,2,3,1,39,2015,1,267,35
0,37,3,3,25,2,0,0,324,2021,4,257,35
2,13,2,8,30,1,3,0,311,2023,4,255,33
1,22,2,4,28,2,1,1,725,2014,5,263,34
0,32,1,1,14,1,0,1,162,2020,11,276,36
0,43,0,2,33,2,1,0,438,2014,2,243,33
3,51,0,6,26,2,0,0,517,2021,8,237,33
2,9,3,3,30,1,0,0,822,2022,11,248,34
2,39,1,3,17,1,0,1,186,2018,1,268,35
1,5,4,8,14,2,1,0,678,2014,2,246,35
1,10,2,9,36,2,1,1,615,2015,3,252,35
3,48,1,9,27,0,2,1,820,2018,7,270,36
3,27,3,5,14,1,1,0,223,2021,10,250,34
1,42,0,1,15,2,0,1,671,2018,9,247,34
3,48,0,4,25,2,0,1,473,2018,4,233,34
1,15,0,1,19,1,2,1,307,2019,8,241,34
0,43,4,8,1,0,3,0,109,2023,8,241,34
1,52,0,6,4,3,3,1,437,2021,9,248,34
2,36,4,8,23,2,3,1,500,2014,9,251,35
3,14,1,7,7,1,0,0,84,2015,2,278,37
2,35,2,2,31,1,2,0,894,2016,11,246,32
2,38,4,9,14,0,0,0,769,2015,12,238,34
2,1,2,3,33,3,0,0,369,2021,2,246,32
1,22,0,9,31,2,2,0,80,2023,11,248,34
2,52,4,7,35,1,2,0,785,2019,4,246,36
2,43,0,6,25,0,3,0,55,2022,10,244,34
0,41,1,8,20,3,1,0,485,2017,10,270,36
3,9,2,1,27,2,0,1,251,2020,7,263,34
2,23,3,1,23,2,3,0,280,2020,9,248,34
1,5,2,2,36,1,0,1,838,2016,3,270,35
0,37,2,5,13,0,1,0,354,2021,1,250,35
3,19,4,8,5,3,3,1,292,2018,11,238,34
0,7,4,9,38,0,0,0,353,2019,5,249,34
3,36,3,8,33,0,1,1,189,2015,10,239,34
0,43,2,4,25,0,3,0,824,2016,7,270,35
1,45,4,2,6,1,2,1,560,2022,6,235,33
2,7,0,3,10,0,3,0,245,2019,10,244,34
3,33,2,1,13,2,0,1,359,2014,6,253,33
3,48,4,8,35,1,3,0,1076,2018,12,244,35
2,29,0,9,15,0,1,0,648,2019,10,243,33
0,35,2,2,25,2,1,1,765,2021,10,248,32
2,6,0,8,37,0,2,0,946,2022,5,248,35
0,48,1,8,27,2,2,0,459,2020,3,268,36
3,22,4,9,22,2,1,0,402,2013,2,244,34
2,3,4,1,5,2,1,0,1097,2018,6,244,35
1,18,2,4,11,3,2,1,635,2015,4,255,33
2,7,2,5,1,0,1,1,261,2013,3,270,35
0,23,3,5,7,0,0,0,948,2023,2,239,33
3,5,4,9,23,1,3,0,846,2014,11,233,33
2,22,2,2,27,1,0,1,458,2015,9,248,33
1,3,4,9,7,1,3,0,319,2016,9,241,34
3,43,2,3,13,0,2,1,732,2018,2,255,33
1,10,0,5,27,0,2,0,611,2019,8,241,34
2,23,1,2,3,0,1,1,283,2016,5,271,37
1,4,2,2,24,3,3,1,88,2021,9,238,31
0,20,2,2,19,0,1,1,906,2014,9,252,35
0,27,3,4,13,1,0,1,935,2023,7,257,35
1,34,0,8,19,0,3,1,999,2022,5,244,34
3,35,4,7,18,0,0,0,421,2019,8,243,34
0,40,4,4,35,1,2,0,783,2013,7,248,34
1,40,4,1,33,2,3,1,655,2021,1,238,34
3,17,2,1,37,0,1,1,314,2020,9,245,35
3,4,4,7,27,2,2,0,1022,2019,11,235,33
1,43,1,8,19,2,2,0,389,2016,1,271,37
2,40,2,5,13,0,2,1,62,2017,9,248,32
0,20,1,5,23,2,1,0,207,2017,7,278,37
0,11,2,7,20,2,0,1,1065,2019,9,245,35
2,17,0,8,34,1,2,0,103,2016,8,241,34
0,5,3,7,18,0,0,1,591,2017,5,242,34
3,38,3,7,27,1,1,0,549,2022,12,233,33
2,37,1,6,2,3,3,0,865,2017,12,265,35
0,24,4,2,18,0,3,1,908,2019,7,241,34
2,18,0,1,14,3,1,0,536,2023,1,242,34
0,21,2,5,26,0,2,0,705,2023,5,253,33
1,19,4,8,5,1,1,1,903,2019,3,238,34
2,43,2,2,6,0,3,0,896,2015,12,241,32
3,7,2,5,7,3,1,1,972,2014,2,245,35
2,35,0,1,23,0,0,1,786,2022,6,229,33
0,6,2,2,14,0,2,1,438,2018,10,252,35
2,42,3,9,4,0,3,1,628,2019,3,250,35
3,48,3,9,39,1,1,1,803,2023,6,239,33
0,51,4,7,25,3,2,1,347,2017,1,248,34
3,25,2,7,24,3,1,1,1098,2014,2,253,33
1,39,4,8,26,2,1,0,504,2020,5,238,34
1,34,1,5,13,3,3,0,840,2023,9,262,34
0,11,3,1,2,0,2,1,571,2014,11,239,34
3,29,4,1,7,1,2,0,1053,2023,11,244,35
3,52,2,2,32,3,3,0,744,2018,12,233,31
2,37,4,7,15,3,0,0,818,2019,3,241,35
0,35,0,1,39,0,1,1,858,2023,7,233,34
2,38,1,8,11,2,2,1,382,2016,8,265,35
1,9,4,2,19,3,0,1,403,2021,3,244,34
3,50,4,1,35,0,3,1,915,2013,2,251,35
1,37,2,3,29,3,2,0,524,2020,5,263,34
3,7,0,2,21,3,0,1,742,2013,3,228,33
1,25,1,1,23,1,0,1,584,2013,1,267,35
2,25,0,2,37,0,3,1,65,2017,4,232,34
1,19,4,9,20,2,3,0,534,2017,2,246,35
0,7,2,7,13,2,3,1,214,2021,8,253,33
3,41,0,8,30,1,0,1,122,2022,10,244,34
0,46,2,3,6,3,3,1,309,2023,5,253,33
3,48,2,8,2,0,2,0,343,2019,11,250,35
3,47,0,4,34,1,3,1,825,2014,9,234,34
3,0,0,5,36,0,1,1,299,2020,5,233,34
0,22,3,4,25,1,2,1,882,2018,5,245,33
1,43,0,2,8,3,2,1,254,2018,10,243,33
1,22,1,9,27,0,2,1,914,2018,7,262,34
2,10,4,9,37,3,3,1,592,2022,9,236,33
1,22,0,2,7,2,1,1,101,2017,3,228,33
3,39,2,6,8,2,2,0,148,2023,8,250,35
1,13,1,4,13,3,2,1,107,2018,12,262,34
2,22,4,6,11,1,2,0,469,2020,7,246,36
0,47,1,7,3,2,1,0,350,2023,3,279,38
3,38,2,6,4,2,2,1,79,2021,12,252,35
3,0,4,2,11,1,2,1,758,2017,10,244,35
1,40,0,5,10,0,3,0,942,2015,3,233,34
1,21,3,3,27,0,3,1,931,2014,7,239,34
0,42,3,3,31,3,3,1,191,2016,12,233,33
2,46,0,3,32,2,0,0,960,2020,4,243,33
1,38,2,2,35,3,0,1,485,2021,10,240,31
2,3,0,9,37,0,1,0,252,2013,5,229,33
3,29,3,2,30,2,2,1,172,2018,1,234,32
0,46,0,6,14,1,1,1,851,2023,5,242,34
3,32,2,9,10,3,2,0,304,2022,1,246,32
3,42,2,8,11,2,3,0,715,2023,5,252,35
3,25,1,8,28,1,2,1,623,2023,7,265,34
2,38,1,9,34,2,3,0,1021,2014,1,262,34
3,24,1,5,2,1,2,1,795,2020,6,268,35
2,2,0,2,15,0,3,1,856,2019,1,244,34
1,48,3,6,19,3,3,1,557,2018,4,239,34
0,21,4,5,17,1,0,0,595,2021,10,243,35
1,1,0,8,22,2,2,1,189,2023,4,244,34
2,43,2,7,9,1,0,1,868,2018,2,263,34
2,38,0,1,4,0,1,1,834,2020,2,228,33
3,28,0,9,3,0,0,0,359,2018,4,248,34
1,38,3,8,1,1,2,0,179,2019,12,225,31
1,5,3,2,8,0,0,1,871,2023,9,259,35
3,33,3,1,30,2,3,0,854,2021,12,230,33
2,25,4,9,8,2,3,0,865,2015,7,246,36
3,43,4,1,16,3,3,1,62,2022,7,249,34
3,46,2,4,29,0,0,0,945,2018,10,252,35
0,47,0,6,39,3,0,1,415,2019,6,229,33
2,43,4,3,25,2,1,0,289,2014,4,243,35
2,38,4,7,5,1,1,0,593,2017,11,233,33
1,30,0,6,3,2,2,1,938,2016,4,244,34
0,15,3,8,6,2,3,0,902,2013,12,248,34
2,50,2,6,1,3,3,0,210,2022,5,238,31
1,18,0,5,9,3,1,0,1074,2014,6,233,34
2,47,0,3,19,2,3,0,855,2020,11,244,34
0,43,2,3,33,0,0,1,1028,2021,3,241,32
2,15,3,9,23,1,1,0,1025,2019,9,245,33
0,4,1,6,34,3,3,1,592,2022,3,271,37
2,3,2,3,27,0,3,1,68,2014,4,250,35
2,25,1,4,4,3,1,0,107,2013,3,268,36
2,45,2,5,12,1,3,0,699,2022,5,267,37
3,43,0,9,19,0,1,0,127,2015,1,248,34
2,20,0,9,22,1,2,0,735,2016,4,229,33
1,50,3,3,30,2,1,1,140,2020,8,248,34
0,37,3,7,24,1,3,0,902,2018,11,230,33
0,17,3,6,31,2,1,0,315,2015,3,224,32
0,8,2,4,2,0,0,1,140,2015,7,267,37
3,46,0,5,14,1,2,0,393,2022,3,229,33
1,26,0,3,39,0,2,1,1003,2018,9,247,34
3,49,3,8,6,3,0,0,620,2023,2,244,34
1,40,3,5,37,2,3,1,1093,2019,3,234,32
3,38,0,1,14,3,0,1,306,2020,4,244,34
0,30,0,6,15,0,2,0,749,2016,9,232,34
0,43,1,8,5,1,3,0,229,2013,5,279,38
3,22,0,6,24,0,1,0,490,2018,7,242,34
3,34,0,4,10,0,1,0,432,2021,1,248,34
3,9,4,3,15,3,3,0,709,2017,6,246,34
0,14,0,1,29,2,3,0,750,2022,6,242,34
2,51,0,1,33,2,3,1,88,2020,9,237,33
1,15,0,1,29,1,3,1,774,2018,7,234,34
2,43,1,5,4,1,3,0,835,2018,12,262,34
3,47,2,7,25,3,1,0,438,2015,7,250,35
2,17,2,1,7,3,3,0,104,2022,8,263,34
2,35,2,6,36,1,3,1,481,2013,8,255,33
2,28,0,6,29,3,0,1,375,2013,7,249,35
0,20,3,8,23,2,0,1,877,2021,8,248,34
0,8,2,7,10,1,3,1,179,2013,4,245,35
3,12,2,3,39,1,3,0,347,2018,8,255,33
1,8,3,7,39,0,2,0,806,2015,1,224,32
1,12,4,3,24,3,2,1,1036,2020,6,244,34
2,42,4,8,33,1,0,1,666,2014,4,249,34
2,8,2,8,28,2,3,1,32,2015,11,267,37
1,42,2,3,33,3,2,0,778,2018,10,263,34
3,50,4,4,6,0,0,1,63,2017,2,248,34
0,36,2,4,7,1,1,0,99,2015,3,246,32
3,18,1,4,11,2,0,0,744,2013,9,278,37
2,38,3,5,8,0,2,1,426,2013,3,239,33
2,8,3,3,28,1,3,0,59,2015,2,250,34
3,46,4,3,32,2,2,1,464,2016,2,241,35
2,5,3,4,28,0,3,1,435,2014,4,245,33
2,19,2,3,17,1,0,1,674,2018,8,270,35
1,16,1,2,28,3,0,1,1040,2022,9,271,37
3,43,3,2,30,2,0,0,139,2020,11,233,33
0,45,1,3,4,3,2,0,742,2016,5,270,36
2,7,0,9,25,0,2,0,722,2017,10,228,33
3,34,2,2,1,0,1,1,1075,2021,6,233,31
3,5,0,5,34,1,2,1,452,2023,8,241,34
3,43,0,3,2,0,0,0,203,2019,1,243,33
3,27,3,7,32,0,2,0,999,2015,3,245,33
2,24,1,2,3,2,1,1,83,2022,7,268,36
3,40,3,8,27,2,2,0,511,2018,8,224,32
1,45,4,2,3,2,2,0,729,2013,4,236,33
3,43,4,6,25,1,1,1,139,2015,10,241,34
0,6,3,7,10,0,0,1,347,2018,11,243,33
3,1,4,5,32,2,0,0,140,2021,11,246,36
0,44,0,7,39,2,1,1,934,2022,5,237,33
0,9,0,6,20,3,3,0,302,2015,1,228,33
0,10,3,3,9,3,3,0,675,2020,12,243,33
3,25,4,4,21,3,0,0,286,2023,7,246,34
0,41,1,2,5,1,2,1,772,2021,10,265,35
2,1,2,6,37,3,0,0,882,2020,11,245,35
3,38,2,4,2,1,2,1,73,2021,10,238,31
0,20,1,2,31,2,0,0,802,2019,2,270,36
1,13,4,2,30,1,3,1,737,2019,9,246,35
0,16,4,4,35,2,2,1,112,2018,11,243,35
3,37,1,5,31,2,2,0,312,2023,7,268,35
3,44,2,8,27,2,2,0,941,2016,12,248,32
3,17,2,8,8,2,0,0,504,2021,7,248,32
1,20,1,3,15,3,3,1,132,2013,3,271,37
3,26,0,4,22,2,0,0,716,2017,8,241,34
1,52,3,5,37,3,1,1,870,2023,1,234,32
0,43,4,9,24,0,2,1,493,2015,9,241,34
0,38,3,6,10,2,3,0,149,2021,9,233,33
2,41,2,4,14,0,3,0,169,2018,7,233,31
1,35,4,1,13,2,1,0,432,2014,6,246,35
2,29,2,7,27,0,2,0,548,2014,3,248,32
2,38,3,2,9,0,0,1,833,2014,5,242,34
1,5,4,5,39,2,1,1,758,2018,2,241,35
1,33,0,6,28,0,3,0,301,2016,5,229,33
2,17,2,1,9,2,1,1,768,2022,11,252,35
1,36,3,7,23,2,2,1,151,2021,5,248,34
0,39,2,5,11,1,2,0,227,2014,7,250,35
2,1,1,5,23,2,3,0,872,2018,7,270,36
1,16,1,7,20,1,1,0,994,2021,6,270,36
1,9,3,7,28,1,0,1,769,2020,3,250,34
0,25,1,2,9,3,3,1,518,2013,2,278,37
1,35,4,4,33,1,3,1,983,2013,1,246,34
0,11,4,5,31,0,0,1,408,2019,6,248,34
1,43,1,6,11,0,3,1,716,2023,2,265,34
